GbLB9aAAAAAJ	No-GJRQAAAAJ	2
qYbgZYgAAAAJ	yOJ8F4gAAAAJ	1
LTL9MjwAAAAJ	2E448xEAAAAJ	1
Pwd7hJYAAAAJ	IR0yJB8AAAAJ	2
qC7oNRUAAAAJ	xITAf6EAAAAJ	8
DYZsiAIAAAAJ	SSb4uV4AAAAJ	9
o_a5zckAAAAJ	vm1u2DEAAAAJ	1
No-GJRQAAAAJ	klpr-t0AAAAJ	1
gz-6ugcAAAAJ	gwB_pJcAAAAJ	1
ZqTie5sAAAAJ	IksW07MAAAAJ	12
ptI-HHkAAAAJ	PEEpuNwAAAAJ	7
NByrsK0AAAAJ	KQmFXsoAAAAJ	4
f2x233wAAAAJ	UK-VpDoAAAAJ	1
TL3wdfgAAAAJ	wSPgTVwAAAAJ	1
jKrIVCIAAAAJ	DWKoeW0AAAAJ	1
f2x233wAAAAJ	YRPveMcAAAAJ	1
1o_wrqsAAAAJ	Ay_j7dUAAAAJ	1
vXHA_XYAAAAJ	Rt1a5-6vh4UC	1
yOJ8F4gAAAAJ	G5Zm8aAAAAAJ	5
WZ-h67UAAAAJ	WV7XovQAAAAJ	4
5Tw9egMAAAAJ	ClBxwZkAAAAJ	1
NSCF6GUAAAAJ	xxN4UiEAAAAJ	1
GbLB9aAAAAAJ	1o_wrqsAAAAJ	1
HRSDO6IAAAAJ	SnvLcLEAAAAJ	4
8kA3eDwAAAAJ	qPlUgrgAAAAJ	1
lnC1vbAAAAAJ	53HX4X8AAAAJ	7
oN85b_gAAAAJ	6Pmbv8IAAAAJ	1
bNkvbPMAAAAJ	CcSZwTsAAAAJ	8
0gkajvEAAAAJ	uVBjUtAAAAAJ	1
Qth4UmoAAAAJ	ln3BGqgAAAAJ	1
SSb4uV4AAAAJ	loPUpHQAAAAJ	3
YBQai3gAAAAJ	HdLFmroAAAAJ	1
IR0yJB8AAAAJ	3-y3qmkAAAAJ	5
FDu4ciwAAAAJ	x_7xA0UAAAAJ	1
6yoY1d8AAAAJ	ocXMyBcAAAAJ	13
-809YacAAAAJ	loPUpHQAAAAJ	3
1o_wrqsAAAAJ	BECu7wYAAAAJ	1
ziDobv4AAAAJ	jIOynFgAAAAJ	2
