Xv5EbpcAAAAJ	Taber LA	[biomechanics, morphogenesis]
E0nK44AAAAAJ	Jin-Yu Shao, PhD	[Mechanics of Single Cells and Molecules]
3ro8yF4AAAAJ	Baranidharan Raman	[Systems neuroscience, machine learning, sensor-based machine olfaction, biomedical intelligent systems, and dynamical systems.]
3-y3qmkAAAAJ	Xuan Zhang	[Computer Architecture, VLSI Design, Embedded Systems, Robotics]
VtIzUZEAAAAJ	Oscar C. Gouveia-Filho	[Microeletrônica]
6ZHvHDEAAAAJ	Svilen Kanev	[Computer Architecture]
G7D5O-0AAAAJ	Chris Gill	[Real-Time Systems, Cyber-Physical Systems, Middleware, Operating Systems, Virtualization]
Pi012CQAAAAJ	Joseph Zambreno	[Electrical and Computer Engineering]
XzBeCwIAAAAJ	Phillip H. Jones	[Reconfigurable Computing, Embedded Systems]
d9f_YvcAAAAJ	Shirley Dyke	[Structural Dynamics & Vibrations, Earthquake Engineering, Cyberinfrastructure, Structural Control, Monitoring]
P19O_H8AAAAJ	Michael Atighetchi	[Cross Domain Information Sharing, Cyber Quantification]
OHulCmEhMosC	Meng Xu	[Cyber Physical Systems, Embedded System, Virtualization Systems, Real-Time Systems, CPS Security]
uwzBnJwAAAAJ	Cesar Sanchez	[Formal Methods, Logic, Reactive Systems, Computer Science]
qPlUgrgAAAAJ	Insup Lee	[Real-time systems, Real-Time Embedded Systems, Cyber Physical Systems, runtime verification, trust management]
ojH7GEgAAAAJ	Linh Thi Xuan Phan	[real-time systems, embedded systems, cyber-physical systems, formal methods, distributed systems]
J0SKz5YAAAAJ	Oleg Sokolsky	[Software design and software architecture for embedded systems, formal methods, runtime verification]
sWCpXFgAAAAJ	William D Smart	[Robotics, Machine Learning]
uVBjUtAAAAAJ	Robert Pless	[computer vision, graph theory, sensor networks, citizen science]
CYwffSUAAAAJ	Abusayeed Saifullah	[Low-power wide-area network, cyber-physical systems, real-time systems, Internet of Things, parallel and distributed computing]
kI5JKs8AAAAJ	Guoliang Xing	[Smart Health, Smart Cities, Cyber-Physical Systems, Sensor Networks, Wireless Networks]
yvvjnhIAAAAJ	Aniruddha Gokhale	[Distributed Systems, Distributed Computing, Cloud Computing, Design Patterns]
amXgr0gAAAAJ	Sisu Xi	[Real Time Systems, Virtualization, Scheduling, Networking, Cloud Computing]
88L1-JYAAAAJ	Xiaorui Wang	[Power Management, Data Centers, Real-Time Embedded Systems, Computer Architecture, Computer Systems]
eFjZ6jAAAAAJ	Jing Li	[parallel computing, real-time systems, cyber-physical systems]
W362rUwAAAAJ	Kunal Agrawal	[Parallel Computing, Algorithms]
8GA4R2wAAAAJ	Douglas Schmidt	[Pattern-oriented middleware, Java/Android concurrency, Industrial Internet of Things, distributed real-time and embedded systems]
tCq7Wx0AAAAJ	Chenyang Lu	[Real-Time Systems, Wireless Sensor Networks, Wireless Health, Internet of Things, Cyber-Physical Systems]
DOdE7bsAAAAJ	Dolvara Gunatilaka	[N/A]
KQmFXsoAAAAJ	Eric (You) Xu	[artificial intelligence, automated planning, nonlinear optimization, sensor network]
enpgnuQAAAAJ	Qingfeng Huang	[mobile computing, sensor networks, distributed computing, ad hoc networks, physics]
VMFWEMcAAAAJ	Thomas C. Bailey	[N/A]
YOZbkCEAAAAJ	Gang Tao	[adaptive control, multivariable control, nonlinear control, robotics, real-time systems]
hVZiQDQAAAAJ	Mo Sha	[Wireless Networks, Internet of Things, Embedded and Real-Time Systems, and Cyber-Physical Systems]
NHZdlVkAAAAJ	Xenofon Koutsoukos	[N/A]
hc1m_BQAAAAJ	Tian He	[Cyber Physical Systems, IOT, Wireless Sensor Networks, Real-time Systems]
pHox8i0AAAAJ	Sang H Son	[N/A]
uBbYp8gAAAAJ	Octav Chipara	[Wireless Sensor Networks, Embedded Systems, Wireless Health, Cyber-physical systems]
NByrsK0AAAAJ	Yixin Chen	[N/A]
DhckaXkAAAAJ	xiaohua xu	[Neuroscience]
3L2Ih0wAAAAJ	Joseph O. Deasy, PhD	[medical physics, statistical modeling, machine learning, cancer biology, radiobiology]
f0DADzYAAAAJ	Ruibin Xi	[N/A]
