Id1	Id2	Count
GbLB9aAAAAAJ	No-GJRQAAAAJ	2
qYbgZYgAAAAJ	yOJ8F4gAAAAJ	1
XLU7AuYAAAAJ	AsMU1QsAAAAJ	2
yvvjnhIAAAAJ	yxUduqMAAAAJ	1
nM77MX0AAAAJ	pHox8i0AAAAJ	1
qC7oNRUAAAAJ	xITAf6EAAAAJ	20
DYZsiAIAAAAJ	SSb4uV4AAAAJ	9
54w2_AcAAAAJ	XeYCNAwAAAAJ	1
JSFmVQEAAAAJ	nM77MX0AAAAJ	1
3bSbb20AAAAJ	BAdQpFkAAAAJ	2
HRSDO6IAAAAJ	bWTPrLEAAAAJ	1
No-GJRQAAAAJ	klpr-t0AAAAJ	1
ptI-HHkAAAAJ	PEEpuNwAAAAJ	13
NByrsK0AAAAJ	KQmFXsoAAAAJ	25
30pCSfEAAAAJ	33CH6WUAAAAJ	4
WZ-h67UAAAAJ	2VMMsmsAAAAJ	4
bh-uRFMAAAAJ	1c5IZ0QAAAAJ	4
f2x233wAAAAJ	UK-VpDoAAAAJ	1
4VJre9IAAAAJ	4xHzvxkAAAAJ	5
HleefHQAAAAJ	tCq7Wx0AAAAJ	5
HaNGX5gAAAAJ	RJCmtBcAAAAJ	2
cA28Zs0AAAAJ	rnBRPpQAAAAJ	4
TL3wdfgAAAAJ	wSPgTVwAAAAJ	1
jKrIVCIAAAAJ	DWKoeW0AAAAJ	1
nM77MX0AAAAJ	cPmMoXoAAAAJ	1
f2x233wAAAAJ	YRPveMcAAAAJ	1
vXHA_XYAAAAJ	Rt1a5-6vh4UC	1
5Tw9egMAAAAJ	ClBxwZkAAAAJ	1
NSCF6GUAAAAJ	xxN4UiEAAAAJ	1
GbLB9aAAAAAJ	1o_wrqsAAAAJ	1
8Qu_gAMAAAAJ	CPqBDqUAAAAJ	1
cA28Zs0AAAAJ	6foKsAIAAAAJ	1
8kA3eDwAAAAJ	qPlUgrgAAAAJ	1
NByrsK0AAAAJ	fAw_t5EAAAAJ	6
7QbSKnMAAAAJ	rRBwhFwAAAAJ	2
fzSHXS8AAAAJ	Qhe5ua0AAAAJ	1
lnC1vbAAAAAJ	53HX4X8AAAAJ	10
oN85b_gAAAAJ	6Pmbv8IAAAAJ	1
