Xv5EbpcAAAAJ	Taber LA	biomechanics, morphogenesis	BME	Y
E0nK44AAAAAJ	Jin-Yu Shao, PhD	Mechanics of Single Cells and Molecules	BME	Y
3ro8yF4AAAAJ	Baranidharan Raman	Systems neuroscience, machine learning, sensor-based machine olfaction, biomedical intelligent systems, and dynamical systems.	BME	Y
3-y3qmkAAAAJ	Xuan Zhang	Computer Architecture, VLSI Design, Embedded Systems, Robotics	ESE	Y
VtIzUZEAAAAJ	Oscar C. Gouveia-Filho	Microeletrônica	N/A	N
6ZHvHDEAAAAJ	Svilen Kanev	Computer Architecture	N/A	N
G7D5O-0AAAAJ	Chris Gill	Real-Time Systems, Cyber-Physical Systems, Middleware, Operating Systems, Virtualization	CS	Y
Pi012CQAAAAJ	Joseph Zambreno	Electrical and Computer Engineering	N/A	N
XzBeCwIAAAAJ	Phillip H. Jones	Reconfigurable Computing, Embedded Systems	N/A	N
d9f_YvcAAAAJ	Shirley Dyke	Structural Dynamics & Vibrations, Earthquake Engineering, Cyberinfrastructure, Structural Control, Monitoring	N/A	N
P19O_H8AAAAJ	Michael Atighetchi	Cross Domain Information Sharing, Cyber Quantification	N/A	N
OHulCmEhMosC	Meng Xu	Cyber Physical Systems, Embedded System, Virtualization Systems, Real-Time Systems, CPS Security	N/A	N
uwzBnJwAAAAJ	Cesar Sanchez	Formal Methods, Logic, Reactive Systems, Computer Science	N/A	N
qPlUgrgAAAAJ	Insup Lee	Real-time systems, Real-Time Embedded Systems, Cyber Physical Systems, runtime verification, trust management	N/A	N
ojH7GEgAAAAJ	Linh Thi Xuan Phan	real-time systems, embedded systems, cyber-physical systems, formal methods, distributed systems	N/A	N
J0SKz5YAAAAJ	Oleg Sokolsky	Software design and software architecture for embedded systems, formal methods, runtime verification	N/A	N
sWCpXFgAAAAJ	William D Smart	Robotics, Machine Learning	N/A	N
uVBjUtAAAAAJ	Robert Pless	computer vision, graph theory, sensor networks, citizen science	N/A	N
CYwffSUAAAAJ	Abusayeed Saifullah	Low-power wide-area network, cyber-physical systems, real-time systems, Internet of Things, parallel and distributed computing	N/A	N
kI5JKs8AAAAJ	Guoliang Xing	Smart Health, Smart Cities, Cyber-Physical Systems, Sensor Networks, Wireless Networks	N/A	N
yvvjnhIAAAAJ	Aniruddha Gokhale	Distributed Systems, Distributed Computing, Cloud Computing, Design Patterns	N/A	N
amXgr0gAAAAJ	Sisu Xi	Real Time Systems, Virtualization, Scheduling, Networking, Cloud Computing	N/A	N
